Crop,State,Soil_Type,Season,Crop_Water_Requirement_mm,Rainfall_mm,Effective_Rainfall_mm,Irrigation_Efficiency,Net_Irrigation_Requirement_mm,Recommended_Water_mm,Potential_Water_Saving_Percent,Water_Saving_Method,Farm_Area_Hectares,Recommended_Water_m3
Cotton,Andhra Pradesh,Alluvial,Kharif,758.44,1584.11,606.75,0.686,121.35,176.98,39.51,Alternate Wetting / Controlled Irrigation,46.51,82313.4
Sugarcane,Assam,Alluvial,Kharif,1767.97,462.98,365.88,0.909,1331.37,1464.82,24.84,Alternate Wetting / Controlled Irrigation,11.25,164792.25
Onion,Tamil Nadu,Red,Kharif,539.21,642.74,371.84,0.809,194.33,240.11,28.43,Drip or Sprinkler Irrigation,79.19,190143.11
Maize,Maharashtra,Sandy,Kharif,616.5,1060.08,493.2,0.856,197.28,230.4,36.99,Drip Irrigation,86.68,199710.72
Maize,Bihar,Alluvial,Rabi,529.28,385.95,260.74,0.828,247.36,298.89,29.36,Alternate Wetting / Controlled Irrigation,9.05,27049.54
Sugarcane,Rajasthan,Black,Kharif,1749.18,1431.92,944.01,0.723,770.19,1065.21,17.86,Drip Irrigation,55.47,590871.99
Jute,Chhattisgarh,Alluvial,Kharif,636.95,1701.0,509.56,0.768,101.91,132.66,36.06,Alternate Wetting / Controlled Irrigation,14.99,19885.73
Cabbage,Jharkhand,Red,Rabi,445.87,833.36,356.7,0.916,111.47,121.64,27.37,Drip or Sprinkler Irrigation,16.93,20593.65
Barley,Uttar Pradesh,Loamy,Rabi,445.56,438.98,331.79,0.809,113.77,140.66,34.09,Controlled Irrigation,30.59,43027.89
Millet,Karnataka,Loamy,Kharif,391.71,935.59,313.37,0.732,78.34,107.09,27.21,Controlled Irrigation,60.3,64575.27
Groundnut,West Bengal,Loamy,Kharif,619.8,690.06,401.56,0.876,218.24,249.14,38.31,Controlled Irrigation,70.04,174497.66
Maize,Assam,Sandy,Rabi,724.26,294.95,174.88,0.715,636.29,889.89,29.42,Drip Irrigation,39.82,354354.2
Pigeonpea,Andhra Pradesh,Black,Kharif,581.25,306.05,173.07,0.651,396.56,608.71,25.15,Drip Irrigation,13.27,80775.82
Cabbage,Telangana,Red,Rabi,397.71,1566.58,318.17,0.665,99.43,149.41,40.44,Drip or Sprinkler Irrigation,35.52,53070.43
Pigeonpea,Telangana,Loamy,Kharif,458.03,562.76,366.42,0.684,91.61,133.98,37.6,Controlled Irrigation,45.13,60465.17
Pigeonpea,Uttar Pradesh,Black,Kharif,481.04,1388.66,384.83,0.702,86.59,123.32,44.6,Drip Irrigation,18.05,22259.26
Millet,Madhya Pradesh,Red,Kharif,423.26,315.64,240.8,0.889,203.63,229.13,14.33,Drip or Sprinkler Irrigation,78.7,180325.31
Wheat,Assam,Alluvial,Rabi,486.71,1769.04,389.37,0.774,77.87,100.64,36.45,Alternate Wetting / Controlled Irrigation,38.03,38273.39
Onion,Uttarakhand,Loamy,Rabi,410.27,1145.93,328.21,0.839,82.05,97.81,27.97,Controlled Irrigation,61.97,60612.86
Tomato,Karnataka,Red,Kharif,494.83,434.79,275.4,0.686,244.17,355.83,33.56,Drip or Sprinkler Irrigation,90.64,322524.31
Barley,Karnataka,Alluvial,Rabi,411.77,883.61,329.42,0.709,65.88,92.96,25.72,Alternate Wetting / Controlled Irrigation,25.15,23379.44
Mustard,Karnataka,Loamy,Rabi,394.83,599.67,315.86,0.805,78.97,98.15,37.96,Controlled Irrigation,78.75,77293.12
Chickpea,Odisha,Black,Rabi,468.11,1101.17,374.49,0.766,84.26,109.93,35.25,Drip Irrigation,69.73,76654.19
Jute,Rajasthan,Loamy,Kharif,821.6,1677.64,657.28,0.786,164.32,209.06,31.29,Controlled Irrigation,79.44,166077.26
Banana,Jharkhand,Black,Kharif,1046.34,361.69,204.96,0.877,820.46,935.16,17.02,Drip Irrigation,82.41,770665.36
Tomato,Kerala,Red,Rabi,462.78,1401.17,370.22,0.654,115.69,176.91,32.45,Drip or Sprinkler Irrigation,38.06,67331.95
Cotton,Chhattisgarh,Alluvial,Kharif,730.25,435.49,364.74,0.749,336.3,449.29,34.89,Alternate Wetting / Controlled Irrigation,98.15,440978.14
Onion,Himachal Pradesh,Red,Rabi,487.53,1343.38,390.03,0.755,121.88,161.5,29.18,Drip or Sprinkler Irrigation,31.68,51163.2
Barley,Kerala,Alluvial,Rabi,374.89,1546.27,299.91,0.917,59.98,65.41,44.81,Alternate Wetting / Controlled Irrigation,57.07,37329.49
Cotton,Bihar,Loamy,Kharif,684.47,858.49,547.58,0.672,136.89,203.83,34.39,Controlled Irrigation,31.03,63248.45
Cabbage,Himachal Pradesh,Loamy,Rabi,531.42,319.21,203.53,0.713,327.89,459.96,22.25,Controlled Irrigation,40.68,187111.73
Cotton,Maharashtra,Alluvial,Kharif,697.99,380.38,305.47,0.716,364.59,509.36,25.94,Alternate Wetting / Controlled Irrigation,12.99,66165.86
Chickpea,Karnataka,Black,Rabi,464.44,340.07,242.08,0.749,213.07,284.47,18.46,Drip Irrigation,26.46,75270.76
Soybean,Telangana,Red,Kharif,620.64,1441.37,496.51,0.88,155.16,176.31,36.74,Drip or Sprinkler Irrigation,46.62,82195.72
Maize,Himachal Pradesh,Alluvial,Kharif,624.7,1073.69,499.76,0.678,99.95,147.35,37.62,Alternate Wetting / Controlled Irrigation,33.04,48684.44
Potato,Andhra Pradesh,Loamy,Rabi,438.32,288.48,197.45,0.9,240.87,267.51,17.69,Controlled Irrigation,20.81,55668.83
Jute,Maharashtra,Alluvial,Kharif,601.83,680.93,481.46,0.84,96.29,114.66,37.41,Alternate Wetting / Controlled Irrigation,48.92,56091.67
Lentil,West Bengal,Loamy,Rabi,435.5,1367.08,348.4,0.91,87.1,95.71,27.28,Controlled Irrigation,17.94,17170.37
Barley,Rajasthan,Alluvial,Rabi,416.01,1107.31,332.81,0.827,66.56,80.52,30.76,Alternate Wetting / Controlled Irrigation,19.89,16015.43
Pigeonpea,West Bengal,Loamy,Kharif,519.3,442.0,346.17,0.661,173.12,261.89,44.71,Controlled Irrigation,70.2,183846.78
Millet,Kerala,Loamy,Kharif,495.58,887.94,396.47,0.864,99.12,114.68,41.04,Controlled Irrigation,89.72,102890.9
Groundnut,Karnataka,Red,Kharif,409.24,827.69,327.39,0.663,102.31,154.28,39.27,Drip or Sprinkler Irrigation,63.11,97366.11
Pigeonpea,Tamil Nadu,Red,Kharif,623.09,1396.12,498.47,0.866,155.77,179.83,37.44,Drip or Sprinkler Irrigation,76.43,137444.07
Sugarcane,Karnataka,Black,Kharif,1557.31,1299.8,871.39,0.658,654.78,995.11,32.39,Drip Irrigation,85.61,851913.67
Rice,Punjab,Loamy,Kharif,1171.3,1571.81,937.04,0.744,234.26,314.88,36.81,Controlled Irrigation,77.22,243150.34
Onion,Haryana,Sandy,Rabi,527.31,540.77,352.89,0.673,237.69,353.24,41.15,Drip Irrigation,99.54,351615.1
Banana,Odisha,Black,Kharif,1163.18,462.07,392.43,0.805,747.49,928.31,27.52,Drip Irrigation,61.83,573974.07
Groundnut,Maharashtra,Red,Kharif,498.09,1668.71,398.47,0.784,124.52,158.8,26.34,Drip or Sprinkler Irrigation,1.49,2366.12
Potato,Maharashtra,Loamy,Rabi,490.66,1233.54,392.52,0.743,98.13,132.13,40.04,Controlled Irrigation,19.82,26188.17
Rice,Madhya Pradesh,Loamy,Kharif,1185.36,1640.35,948.29,0.713,237.07,332.28,35.59,Controlled Irrigation,69.02,229339.66
Carrot,Gujarat,Loamy,Rabi,430.69,714.04,344.55,0.715,86.14,120.44,42.49,Controlled Irrigation,15.55,18728.42
Chickpea,Haryana,Loamy,Rabi,434.22,1477.56,347.38,0.862,86.84,100.79,44.89,Controlled Irrigation,59.36,59828.94
Chickpea,Haryana,Red,Rabi,485.38,1470.76,388.31,0.7,121.35,173.35,38.06,Drip or Sprinkler Irrigation,28.61,49595.44
Pigeonpea,West Bengal,Black,Kharif,552.55,921.11,442.04,0.66,99.46,150.77,25.82,Drip Irrigation,34.34,51774.42
Wheat,Maharashtra,Loamy,Rabi,541.02,1049.94,432.82,0.734,108.2,147.34,32.69,Controlled Irrigation,16.12,23751.21
Wheat,Assam,Clay,Rabi,589.64,570.88,381.48,0.732,160.98,220.05,25.03,Alternate Wetting and Drying,48.65,107054.33
Groundnut,Karnataka,Sandy,Kharif,400.31,1037.66,320.25,0.782,128.1,163.77,40.61,Drip Irrigation,66.8,109398.36
Lentil,Telangana,Loamy,Rabi,339.05,749.86,271.24,0.715,67.81,94.78,29.57,Controlled Irrigation,57.43,54432.15
Millet,Gujarat,Sandy,Kharif,309.71,964.19,247.77,0.842,99.11,117.69,27.76,Drip Irrigation,82.48,97070.71
Cabbage,Uttarakhand,Loamy,Rabi,351.85,541.9,281.48,0.658,70.37,106.87,29.83,Controlled Irrigation,73.08,78100.6
Wheat,Gujarat,Alluvial,Rabi,619.89,257.35,189.34,0.88,405.75,460.87,14.07,Alternate Wetting / Controlled Irrigation,48.74,224628.04
Chickpea,Tamil Nadu,Red,Rabi,478.32,644.11,382.66,0.898,119.58,133.15,44.69,Drip or Sprinkler Irrigation,36.05,48000.58
Wheat,Rajasthan,Alluvial,Rabi,513.68,1488.78,410.94,0.812,82.19,101.19,31.35,Alternate Wetting / Controlled Irrigation,92.97,94076.34
Pigeonpea,Assam,Loamy,Kharif,455.97,787.04,364.77,0.655,91.19,139.2,39.16,Controlled Irrigation,65.96,91816.32
Jute,Telangana,Loamy,Kharif,822.5,1170.44,658.0,0.684,164.5,240.49,28.46,Controlled Irrigation,94.55,227383.3
Jute,Madhya Pradesh,Loamy,Kharif,847.94,256.21,217.25,0.654,630.7,963.66,24.62,Controlled Irrigation,38.87,374574.64
Potato,Maharashtra,Loamy,Rabi,576.08,1081.11,460.86,0.818,115.22,140.87,36.89,Controlled Irrigation,47.56,66997.77
Lentil,Haryana,Loamy,Rabi,399.54,1546.18,319.63,0.655,79.91,122.02,42.48,Controlled Irrigation,35.65,43500.13
Pigeonpea,Odisha,Black,Kharif,560.71,864.06,448.57,0.833,100.93,121.17,40.17,Drip Irrigation,85.67,103806.34
Mustard,West Bengal,Black,Rabi,383.85,1047.6,307.08,0.653,69.09,105.75,33.16,Drip Irrigation,33.65,35584.88
Cabbage,Tamil Nadu,Loamy,Rabi,429.0,1308.0,343.2,0.69,85.8,124.29,28.99,Controlled Irrigation,41.08,51058.33
Lentil,Uttar Pradesh,Alluvial,Rabi,436.89,578.83,349.51,0.777,69.9,89.98,32.58,Alternate Wetting / Controlled Irrigation,39.09,35173.18
Onion,Rajasthan,Sandy,Rabi,496.23,1463.59,396.98,0.804,158.79,197.53,42.31,Drip Irrigation,93.46,184611.54
Lentil,Madhya Pradesh,Alluvial,Rabi,330.66,1402.58,264.53,0.656,52.91,80.62,39.39,Alternate Wetting / Controlled Irrigation,48.76,39310.31
Wheat,Uttar Pradesh,Clay,Rabi,528.93,744.66,423.14,0.814,63.47,77.94,37.04,Alternate Wetting and Drying,57.97,45181.82
Chickpea,Madhya Pradesh,Red,Rabi,379.51,834.67,303.61,0.756,94.88,125.43,38.69,Drip or Sprinkler Irrigation,63.17,79234.13
Tomato,Andhra Pradesh,Loamy,Rabi,448.72,403.33,328.44,0.853,120.28,140.94,29.04,Controlled Irrigation,61.58,86790.85
Carrot,Chhattisgarh,Loamy,Rabi,404.4,976.05,323.52,0.72,80.88,112.33,44.19,Controlled Irrigation,84.85,95312.0
Sugarcane,Punjab,Alluvial,Kharif,1355.35,641.28,499.84,0.73,801.3,1098.28,31.92,Alternate Wetting / Controlled Irrigation,33.55,368472.94
Tomato,Bihar,Alluvial,Kharif,596.47,1727.15,477.18,0.669,95.44,142.57,36.06,Alternate Wetting / Controlled Irrigation,15.58,22212.41
Carrot,Assam,Sandy,Rabi,469.16,1205.97,375.33,0.796,150.13,188.5,28.21,Drip Irrigation,51.01,96153.85
Maize,Maharashtra,Alluvial,Kharif,683.78,708.85,475.96,0.75,180.47,240.55,40.45,Alternate Wetting / Controlled Irrigation,96.07,231096.38
Rice,Odisha,Clay,Kharif,1136.2,1638.99,908.96,0.677,136.34,201.36,28.59,Alternate Wetting and Drying,22.28,44863.01
Cabbage,Karnataka,Alluvial,Rabi,439.97,630.15,351.98,0.842,70.4,83.63,31.79,Alternate Wetting / Controlled Irrigation,59.37,49651.13
Banana,Rajasthan,Alluvial,Kharif,1097.92,499.94,408.15,0.904,645.85,714.59,29.43,Alternate Wetting / Controlled Irrigation,82.34,588393.41
Sugarcane,Madhya Pradesh,Loamy,Kharif,1545.3,1071.11,728.75,0.795,816.56,1027.28,13.29,Controlled Irrigation,49.45,507989.96
Potato,Chhattisgarh,Loamy,Rabi,496.41,1727.47,397.12,0.694,99.28,143.02,30.06,Controlled Irrigation,78.77,112656.85
Carrot,Andhra Pradesh,Loamy,Rabi,323.79,1671.12,259.03,0.737,64.76,87.89,33.01,Controlled Irrigation,61.69,54219.34
Banana,Punjab,Alluvial,Kharif,1395.44,1518.38,1048.63,0.85,290.99,342.25,43.41,Alternate Wetting / Controlled Irrigation,31.98,109451.55
Cotton,Himachal Pradesh,Alluvial,Kharif,565.03,780.73,452.03,0.865,90.41,104.57,40.87,Alternate Wetting / Controlled Irrigation,93.44,97710.21
Pigeonpea,Gujarat,Black,Kharif,537.6,1240.47,430.08,0.651,96.77,148.73,26.24,Drip Irrigation,27.47,40856.13
Cabbage,Kerala,Alluvial,Rabi,375.81,486.11,300.64,0.821,60.13,73.26,31.38,Alternate Wetting / Controlled Irrigation,45.47,33311.32
Onion,Kerala,Red,Kharif,481.99,1179.53,385.59,0.778,120.5,154.95,28.54,Drip or Sprinkler Irrigation,87.87,136154.56
Wheat,West Bengal,Clay,Rabi,458.05,946.93,366.44,0.891,54.97,61.69,35.63,Alternate Wetting and Drying,45.73,28210.84
Pigeonpea,Punjab,Loamy,Kharif,510.5,1718.68,408.4,0.749,102.1,136.33,36.24,Controlled Irrigation,76.31,104033.42
Maize,Madhya Pradesh,Alluvial,Rabi,726.77,899.92,581.42,0.825,116.28,141.0,33.8,Alternate Wetting / Controlled Irrigation,44.56,62829.6
Groundnut,Telangana,Sandy,Kharif,566.87,1266.05,453.5,0.829,181.4,218.82,28.96,Drip Irrigation,51.04,111685.73
Wheat,Tamil Nadu,Loamy,Rabi,622.13,632.35,372.34,0.83,249.79,300.84,27.77,Controlled Irrigation,82.46,248072.66
Groundnut,Haryana,Sandy,Kharif,627.58,563.91,428.81,0.796,274.08,344.17,37.2,Drip Irrigation,70.29,241917.09
Soybean,Haryana,Red,Kharif,656.37,746.76,500.26,0.914,188.93,206.81,25.46,Drip or Sprinkler Irrigation,85.49,176801.87
Banana,Rajasthan,Alluvial,Kharif,1244.09,938.11,756.3,0.903,438.03,485.24,18.06,Alternate Wetting / Controlled Irrigation,40.61,197055.96
Lentil,Madhya Pradesh,Alluvial,Rabi,373.47,1229.91,298.78,0.74,59.76,80.73,43.48,Alternate Wetting / Controlled Irrigation,28.31,22854.66
Jute,Uttarakhand,Loamy,Kharif,786.25,1435.23,629.0,0.856,157.25,183.72,29.8,Controlled Irrigation,90.15,165623.58
Carrot,Odisha,Loamy,Rabi,357.86,649.6,286.29,0.808,71.57,88.56,41.32,Controlled Irrigation,23.96,21218.98
Groundnut,Maharashtra,Red,Kharif,401.88,771.0,321.5,0.865,100.47,116.11,40.49,Drip or Sprinkler Irrigation,7.85,9114.64
Cotton,Bihar,Loamy,Kharif,667.02,1797.84,533.62,0.702,133.4,190.03,37.39,Controlled Irrigation,54.37,103319.31
Lentil,Haryana,Alluvial,Rabi,310.45,463.9,248.36,0.863,49.67,57.52,38.27,Alternate Wetting / Controlled Irrigation,61.39,35311.53
Carrot,Bihar,Sandy,Rabi,466.51,523.35,373.2,0.764,149.28,195.31,38.72,Drip Irrigation,6.28,12265.47
Barley,Andhra Pradesh,Alluvial,Rabi,499.91,1050.51,399.93,0.676,79.99,118.37,31.37,Alternate Wetting / Controlled Irrigation,17.16,20312.29
Carrot,Kerala,Sandy,Rabi,384.96,329.7,216.28,0.832,214.87,258.4,41.64,Drip Irrigation,3.29,8501.36
Cabbage,Uttarakhand,Red,Rabi,414.31,1410.67,331.45,0.866,103.58,119.55,27.88,Drip or Sprinkler Irrigation,89.67,107200.49
Onion,Uttarakhand,Sandy,Kharif,380.71,1077.45,304.56,0.668,121.83,182.31,33.73,Drip Irrigation,29.78,54291.92
Wheat,Tamil Nadu,Clay,Rabi,456.97,1261.0,365.57,0.872,54.84,62.87,42.22,Alternate Wetting and Drying,95.44,60003.13
Groundnut,Maharashtra,Red,Kharif,604.8,393.77,303.73,0.757,331.31,437.94,16.44,Drip or Sprinkler Irrigation,92.36,404481.38
Banana,Tamil Nadu,Loamy,Kharif,1201.67,1412.91,933.05,0.775,268.62,346.41,29.17,Controlled Irrigation,93.03,322265.22
Mustard,West Bengal,Black,Rabi,317.2,523.25,253.76,0.697,57.1,81.88,44.81,Drip Irrigation,80.82,66175.42
Maize,West Bengal,Alluvial,Kharif,612.18,859.02,489.75,0.886,97.95,110.52,28.85,Alternate Wetting / Controlled Irrigation,5.01,5537.05
Soybean,Gujarat,Loamy,Kharif,664.02,698.08,502.57,0.848,161.45,190.31,41.57,Controlled Irrigation,80.24,152704.74
Potato,Kerala,Alluvial,Rabi,409.89,1182.42,327.91,0.781,65.58,83.94,40.16,Alternate Wetting / Controlled Irrigation,14.82,12439.91
Rice,Telangana,Clay,Kharif,1268.37,847.32,598.7,0.723,568.2,785.8,17.87,Alternate Wetting and Drying,91.26,717121.08
Tomato,Punjab,Red,Kharif,413.22,251.65,205.94,0.707,227.93,322.25,26.16,Drip or Sprinkler Irrigation,41.53,133830.42
Barley,Telangana,Loamy,Rabi,420.49,987.94,336.39,0.903,84.1,93.17,36.72,Controlled Irrigation,34.54,32180.92
Lentil,Chhattisgarh,Loamy,Rabi,401.93,581.84,321.54,0.677,80.39,118.78,28.52,Controlled Irrigation,97.13,115371.01
Wheat,Punjab,Loamy,Rabi,514.08,809.18,411.26,0.665,102.82,154.63,37.21,Controlled Irrigation,44.98,69552.57
Lentil,Gujarat,Loamy,Rabi,433.25,1690.98,346.6,0.677,86.65,128.0,37.39,Controlled Irrigation,72.82,93209.6
Onion,Uttar Pradesh,Loamy,Rabi,500.85,1520.7,400.68,0.792,100.17,126.47,33.03,Controlled Irrigation,9.66,12217.0
Wheat,Kerala,Loamy,Rabi,565.37,1499.6,452.3,0.696,113.07,162.47,34.87,Controlled Irrigation,77.82,126434.15
Cabbage,West Bengal,Loamy,Rabi,426.15,866.16,340.92,0.808,85.23,105.5,28.86,Controlled Irrigation,99.57,105046.35
Carrot,Tamil Nadu,Sandy,Rabi,417.87,805.94,334.29,0.76,133.72,175.86,43.54,Drip Irrigation,38.95,68497.47
Lentil,Uttarakhand,Alluvial,Rabi,358.72,760.36,286.98,0.772,57.4,74.37,38.18,Alternate Wetting / Controlled Irrigation,26.6,19782.42
Potato,Jharkhand,Sandy,Rabi,469.15,836.82,375.32,0.676,150.13,222.23,32.78,Drip Irrigation,39.24,87203.05
Jute,Gujarat,Loamy,Kharif,740.67,1421.09,592.53,0.72,148.13,205.88,36.95,Controlled Irrigation,11.48,23635.02
Maize,Assam,Alluvial,Rabi,736.38,858.35,589.1,0.899,117.82,130.99,25.77,Alternate Wetting / Controlled Irrigation,56.42,73904.56
Cabbage,Uttarakhand,Red,Rabi,355.31,1402.36,284.25,0.88,88.83,100.93,25.11,Drip or Sprinkler Irrigation,27.56,27816.31
Chickpea,Tamil Nadu,Black,Rabi,399.61,1612.08,319.69,0.751,71.93,95.81,28.21,Drip Irrigation,9.14,8757.03
Onion,Kerala,Red,Rabi,457.3,1746.39,365.84,0.91,114.32,125.61,36.89,Drip or Sprinkler Irrigation,98.61,123864.02
Carrot,Maharashtra,Loamy,Rabi,320.22,1506.99,256.18,0.78,64.04,82.1,37.14,Controlled Irrigation,35.4,29063.4
Potato,Karnataka,Alluvial,Rabi,474.0,897.31,379.2,0.682,75.84,111.21,30.69,Alternate Wetting / Controlled Irrigation,4.81,5349.2
Millet,Rajasthan,Sandy,Kharif,304.79,1056.71,243.84,0.775,97.53,125.82,38.37,Drip Irrigation,8.98,11298.64
Lentil,Jharkhand,Loamy,Rabi,392.81,312.15,220.59,0.775,172.22,222.32,15.36,Controlled Irrigation,79.29,176277.53
Onion,Chhattisgarh,Loamy,Kharif,418.83,400.06,268.64,0.906,150.19,165.82,44.49,Controlled Irrigation,2.43,4029.43
Sugarcane,Maharashtra,Loamy,Kharif,1735.7,1233.06,837.65,0.766,898.06,1172.65,10.9,Controlled Irrigation,93.88,1100883.82
Soybean,Madhya Pradesh,Black,Kharif,748.39,1736.0,598.71,0.661,134.71,203.82,43.06,Drip Irrigation,67.16,136885.51
Potato,Himachal Pradesh,Loamy,Rabi,567.5,432.13,345.88,0.666,221.61,332.67,13.89,Controlled Irrigation,99.28,330274.78
Cabbage,Madhya Pradesh,Red,Rabi,533.15,1129.54,426.52,0.757,133.29,176.01,44.38,Drip or Sprinkler Irrigation,90.34,159007.43
